src,tgt
"Mới đây ,  nhóm các phần tử khủng bố IS đã thực hiện một cuộc thảm sát làm ít nhất 37 dân thường ,  bao gồm cả phụ nữ và trẻ em ,  thiệt mạng ở khu vực miền trung Syria . Sự kiện :",最近，一群IS恐怖分子进行了一次大屠杀，至少有37名平民，包括妇女和儿童，在叙利亚中部地区被杀。
"Theo thông tin từ xổ số Vietlott ,  kì quay thưởng hôm 23/3 giải Jackpot trị giá hơn 85 tỷ đồng loại hình Power 6/55 đã không tìm ra người chơi may mắn trúng thưởng . Sự kiện :",根据Vietlott彩票的信息，3月23日的大奖奖获得了奖金，价值超过850亿台电力的奖金6/55类型的奖金并没有找到可以赢得的幸运球员。
"Tổng thống Nga Vladimir Putin ngày 17 . 3 đã ký một sắc lệnh công nhận Crimea là một quốc gia độc lập ,  sau cuộc trưng cầu dân ý với đại đa số cử tri ủng hộ Crimea ly khai Ukraine ,  sáp nhập Nga . Sự kiện :",俄罗斯总统弗拉基米尔·普京（Vladimir Putin）在3月17日签署了一项法令，将克里米亚承认为一个独立国家，此前大多数选民支持克里米亚（Crigea）与俄罗斯合并的大多数选民。
"Thống kê trong 1 tháng đầu năm 2015 ,  Công ty CP Sữa Việt Nam  ( Vinamilk )  thu mua gần 20 triệu kg sữa ,  tăng trưởng gần 22% so với cùng kỳ năm 2014 .",2015年第一个1个月的统计数据，越南乳制品股票公司（Vinamilk）购买了将近2000万公斤的牛奶，2014年同期增长了近22％。
"Trong hôm nay ngày 17/6 ,  Triều Tiên đã cho phép hai công dân Hàn Quốc được hồi hương ,  hai người này bị bắt giữ với cáo buộc xâm nhập lãnh thổ Bình Nhưỡng bất hợp pháp .",今天，6月17日，朝鲜允许两个朝鲜公民遣返，这两人因入侵非法安抚的领土而被捕。
"Mỹ phát hiện thịt lợn nhiễm khuẩn Clostridium difficile gây hại nghiêm trọng cho sức khỏe ,  có thể dẫn đến tử vong .",美国发现，艰难梭菌感染对健康有严重危害，这可能导致死亡。
"Nhằm đối phó với khủng hoảng kinh tế và làm gương cho các nhân viên ,  40 lãnh đạo cao cấp của tập đoàn Sony từ chối khoản thưởng định kỳ vào mùa hè theo thông lệ của hãng này .",为了应对经济危机并为员工树立榜样，索尼集团的40名高级领导人根据其通常的实践拒绝了夏季的奖金。
"Những con cá trê này có màu sắc lạ ,  hiếm .  Chuyên gia cho biết chúng có thể bị đột biến gen .",这些cat鱼具有奇怪的稀有颜色。专家说他们可能有基因突变。
Những thực phẩm dưới đây đã được các chuyên gia dinh dưỡng hàng đầu thế giới khuyên dùng trong việc giảm cân .  Vậy bạn hoàn toàn có thể tin tưởng và áp dụng để sở hữu một vóc dáng thon gọn nhé .,全球领先的减肥专家推荐了以下食物。因此，您绝对可以信任并申请拥有一个苗条的身体。
"Dưới cái nắng 39 đến 40 độ C ,  như muốn thiêu đốt tất cả những gì giữa cánh đồng .  Thế nhưng dưới cái nắng cháy da ,  cháy thịt hàng nghìn người nông dân phải ra đồng ,  một trong những  “ bảo bối ”  của người dân trong những ngày này là chiếc áo tơi .",在39至40摄氏度的太阳下，仿佛要燃烧田间的一切。但是在阳光下燃烧的情况下，成千上万的农民必须去田野，如今人们的“宝藏”之一就是衬衫。
Giá vàng ngày 30/5 tiếp tục đà tăng mạnh .  Chuyên gia lên tiếng lý giải và về chuỗi tăng giá liên tục của giá vàng .,30/5的黄金价格继续急剧上升。专家解释以及黄金价格的持续价格上涨。
"Thượng tướng Vladimir Shamanov thuộc Tư lệnh lực lượng lính dù Nga cho biết ,  10 tiểu đoàn phản ứng nhanh đã được thành lập để có thể thực thi nhiệm vụ chiến đấu cả trong nước lẫn ngoài nước .",俄罗斯伞兵指挥官弗拉基米尔·萨马诺夫（Vladimir Shamanov）中将说，建立了十个快速反应营，以便能够执行在国内外战斗的任务。
Tên lửa tầm siêu xa 40N6 là vũ khí vừa được Nga thử nghiệm ở giai đoạn cuối cùng .  Đây là vũ khí chiến lược giúp tổ hợp tên lửa S-400 Nga như mọc thêm cánh . Sự kiện :,40N6超长导弹是刚刚在最后阶段被俄罗斯测试的武器。这是一种战略武器，可帮助S-400俄罗斯导弹组合作为生长的翅膀。
"Từ 15h ngày 27/8/2020 giá bán mặt hàng xăng E5RON92 và dầu mazut giữ ổn định ,  giá dầu diesel giảm 240 đồng/lít ,  giá dầu hỏa giảm 82 đồng/lít ,  giá xăng RON95 tăng 192 đồng/lít so với giá hiện hành .",从2020年8月27日的15:00开始，E5ron92汽油和Mazut Oil的售价保持稳定，柴油价格下跌240 vnd/升，煤油价格降低了82 vnd/升，RON95汽油价格上涨了192 VND/LABL到价格当前。
"Mới đây ,  các đại lý Nissan tại Việt Nam đã bất ngờ giảm giá khủng có mẫu Nissan Terra phiên bản V cao cấp nhất với mức giảm lên đến 200 triệu đồng . Sự kiện :",最近，越南的日产经销商突然折价了最先进版本的Nissan Terra版本V版本的价格，最多可减少2亿面VND。
Có quan điểm bày tỏ không yêu nổi Bphone 3 chỉ vì CEO Nguyễn Tử Quảng vẫn quá  “ nổ ”  sau hai lần thất bại .,有一个观点不能喜欢Bphone 3，仅仅是因为首席执行官Nguyen tu Quang在两次失败之后仍然“爆炸”。
"Trước những thông tin đồn đoán về việc tham dự cuộc thi Hoa hậu Trái Đất 2017 ,  Phạm Hương đã chính thức lên tiếng xác nhận . Sự kiện :",在有关参加2017年地球小姐比赛的谣言之前，Pham Huong正式证实。
"Ăn các loại gỏi hải sản như hàu sống ,  gỏi cá .  .  . có thể dẫn đến nhiều căn bệnh như viêm khớp ,  bệnh gút ,  .  .  . thậm chí còn có thể gây ra viêm gan ,  ung thư gan .",吃海鲜沙拉，例如生牡蛎，鱼沙拉...可以导致许多疾病，例如关节炎，痛风，甚至会引起肝炎，肝癌。
"Trong 100g su hào có đến 91g nước và 3 , 6g chất xơ nên loại rau củ này được coi là thực phẩm lý tưởng cho những người ăn kiêng ,  muốn giảm béo bụng .  Sự kiện :",在100克Kohlrabi中，有91克水和3.6克纤维，因此这种蔬菜被认为是想要减少腹部脂肪的节食者的理想食物。事件：
Công cụ đánh giá hiệu quả công việc  ( Work Sampling )  giúp nâng cao hiệu quả công việc đồng thời giảm chi phí trong quá trình hoạt động sản xuất kinh doanh . Sự kiện :,工作效率评估工具（工作抽样）有助于提高工作效率，同时降低生产和业务活动的成本。
"Tổ liên ngành chống buôn lậu tỉnh An Giang vừa phát hiện và tạm giữ 2 . 190 sản phẩm đồ điện gia dụng ngoài ra còn có cả thuốc lá nhập lậu ,  không rõ nguồn gốc và có nhãn mác nước ngoài .","除走私香烟，未知来源和外国标签外，吉安根省的吉安跨学科小组刚刚发现并暂时扣押了2,190家家用电器。"
"Đó là khẳng định của Tổng cục trưởng Tổng cục Tiêu chuẩn Đo lường Chất lượng Trần Văn Vinh về tầm quan trọng cũng như sức ảnh hưởng mạnh mẽ của Giải thưởng Chất lượng Quốc gia ,  Giải thưởng Chất lượng Quốc tế Châu Á – Thái Bình Dương tới xã hội .  .  . Sự kiện :",这就是标准，计量和质量Tran van Vinh总经理的肯定，对国家质量奖，亚洲 - 太平洋国际质量奖的重要性以及社会的强烈影响...事件：事件：
"Loài rắn từng có chân đầy đủ như bao loài khác ,  nhưng bộ phận này đã dần biến mất .",蛇曾经像许多其他物种一样具有全腿，但是这部分逐渐消失了。
"Một phụ nữ Trung Quốc trong khi sử dụng sản phẩm sữa túi canxi đã phát hiện nhiều hạt màu trắng xuất hiện trong sữa ,  sự việc đang khiến người dân lo lắng về vệ sinh an toàn thực phẩm dịp giáp Tết .",一名中国妇女在使用钙袋时发现，许多白色种子出现在牛奶中，这导致人们担心在TET假期中的食物卫生和安全性。
"Trong một nghiên cứu mới tại Thụy Điển ,  các nhà nghiên cứu đã xác định được hàng ngàn hóa chất trong quần áo và thậm chí những hóa chất này vẫn còn tồn tại sau khi giặt giũ nhiều lần .",在瑞典的一项新研究中，研究人员已经确定了成千上万种衣服中的化学物质，甚至在洗涤很多次后仍然存在这些化学物质。
"Sau mấy phiên tạm lắng ,  đầu giờ sáng nay  ( 17/9 )  giá vàng trong nước đã tăng trở lại ngưỡng 47 triệu đồng .","经过几次临时会议，今天清晨（9月17日），国内黄金价格恢复到4,700万的门槛。"
"Gạo ,  ngũ cốc chứa hàm lượng Asen cao gây ảnh hưởng xấu đến sức khỏe bao gồm hoại tử ,  rối loạn sắc tố da , …đặc biệt gây rối loạn thần kinh ở trẻ .",大米，谷物中含有高砷含量，会对健康，包括坏死，皮肤色素沉着障碍，特别是引起儿童神经系统疾病。
Thương hiệu quần áo Joe Fresh của Loblaws đưa ra thông báo thu hồi quần đùi bơi dành cho bé trai và trẻ mới biết đi vì lo ngại độ bền của vải khi bị ướt .,Loblaw的Joe Fresh Clothing品牌发出了恢复游泳短裤的通知，因为担心潮湿时织物的耐用性，男孩和儿童都会走路。
"Trong quý I ,  nhiều mặt hàng nông sản xuất khẩu của Việt Nam ghi nhận sự tăng trưởng lớn do giá xuất khẩu tăng mạnh .",在第一季度，由于出口价格急剧上涨，越南出口的许多农产品在越南出口的增长巨大。
"Tiêu thụ ô tô ở Việt Nam đã tăng mạnh trong tháng 9/2015 ,  trong khi sản lượng tiêu thụ xe máy lại giảm mạnh .",2015年9月，越南的汽车消耗量急剧增加，而摩托车消耗量暴跌。
"Tin từ xổ số Vietlott cho biết ,  đơn vị này vừa trao giải thưởng trị giá 27 . 757 . 861 . 500 đồng cho một nữ tiểu thương đến từ TP . HCM . Sự kiện :","Vietlott彩票的消息说，该单位刚刚颁发了一个价值27,757,861,500 VND的奖项，向Ho Chi Minh City的一个小型女商人颁发了奖项。"
"Giá vàng hôm nay ngày 8/4/2016 tiếp tục trầm lắng ở thị trường trong nước ,  làm đảo chiều tương quan giữa giá vàng trong nước và giá vàng thế giới . Sự kiện :",今天8/4/2016的黄金价格在国内市场继续保持安静，扭转了国内黄金价格与世界黄金价格之间的相关性。
Giá vàng hôm nay tăng mạnh và đánh dấu mức cao nhất trong hơn 1 tuần do những căng thẳng ở Trung Đông và thị trường chứng khoán bất ổn định . Sự kiện :,今天的黄金价格急剧上涨，这是由于中东和股票市场不稳定的紧张局势，超过1周的最高水平。
"Ngày 15/5 ,  một xe khách đã bị lật và lao xuống vực sâu 30m ở tỉnh Thiểm Tây ,  miền Bắc Trung Quốc ,  khiến ít nhất 33 người tử vong và 13 người bị thương đang phải điều trị . Sự kiện :",5月15日，一辆乘用车被推翻，并在中国北部的Shaanxi省深30m，造成至少33人死亡，13人受伤的人正在接受治疗。
Hàng nghìn tỷ đồng đổ vào cổ phiếu đẩy chứng khoán lên giá mỗi phiên đã khiến không ít đại gia đã đầu tư cổ phiếu đang rung đùi chờ những món tiền tỷ từ lãi hoặc hoàn nhập dự phòng . Sự kiện :,数万亿美元投入了股票，将证券推向每个会议的价格，这使许多巨人投资于股票摇晃大腿的股票，等待数十亿美元的利息或退款。
"Với dầu dừa - một dược liệu thiên nhiên giá thành rẻ với hiệu quả cao ,  người bệnh sẽ thoát khỏi những cơn đau do viêm khớp gây ra . Sự kiện :",使用椰子油 - 一种具有高效率的廉价天然药物，患者将摆脱关节炎引起的疼痛。
"Gần đây ,  Tổ chức Động vật Châu Á lên án và kêu gọi chấm dứt lễ hội chém lợn ở Bắc Ninh gây ra tranh cãi nảy lửa .  Tuy nhiên đây không phải là lễ hội giết động vật duy nhất trên thế giới .",最近，亚洲动物组织谴责并呼吁在Bac Ninh举行的猪节日结束，引起了激烈的争议。但是，这不是世界上唯一的动物杀戮节。
"Trên các trang thương mại điện tử ,  người tiêu dùng dễ dàng tìm thấy những quảng cáo chào bán những sẩn phẩm sữa ngoại xách tay ,  nhưng liệu chất lượng và nguồn gốc có thật sự đảm bảo  ?",在电子商务网站上，消费者可以轻松地找到提供便携式牛奶产品的广告，但是是否可以保证质量和来源？
"Rau xanh ,  nộm ,  thực phẩm làm từ đậu ,  .  .  . là những loại thức ăn không được để qua đêm ,  bởi việc sử dụng lại vào bữa sau không chỉ làm giảm hương vị của món ăn mà còn tiềm ẩn nguy cơ gây hại cho sức khỏe người dùng .",绿色蔬菜，人体模型，用豆类制成的食物……是一夜之间的食物，因为下一顿饭的再利用不仅会减少菜肴的味道，而且还有可能造成伤害。
Thị trường Hà Nội và TP . HCM ghi nhận sự quan tâm ở mức độ khác nhau của các khách thuê doanh nghiệp đến từ Nhật Bản và Hàn Quốc .  Lĩnh vực văn phòng tại Hà Nội từ nhiều năm nay đã có các dự án hạng A tập trung ở 3 khu vực khác nhau thay vì phần lớn tập trung tại một khu vực trung tâm như TP . HCM .  Đây là một trong những yếu tố dẫn đến sự chênh lệch rõ rệt về giá thuê của hai thị trường và xu hướng dịch chuyển nguồn cung .,Hanoi和Ho Chi Minh城市市场认识到日本和韩国不同级别的商业租户的兴趣。河内的办公领域在3个不同的地区已经集中在3个不同地区，而不是大多数集中在Ho Chi Minh City等中心地区。这是导致两个市场租金和移动供应趋势明显差异的因素之一。
Sản phẩm tương ớt Chin-su của Công ty Masan sử dụng axít benzoic hoặc muối natri benzoate với hàm lượng không quá 1 . 000 mg/kg phù hợp với quy định của Việt Nam và Ủy ban tiêu chuẩn thực phẩm quốc tế Codex và an toàn cho người sử dụng . Sự kiện :,"Masan Chili辣椒酱产品使用苯甲酸或苯甲酸钠盐，根据越南法规和国际食品标准委员会法规，其内容不超过1,000 mg/kg，并且对安全用户安全。活动：活动：活动：事件："
Giá xe Honda CR-V 2018 tại đại lý rẻ hơn giá cũ đến 200 triệu đồng khiến nhiểu khách hàng Việt giật mình . Sự kiện :,本田CR-V 2018在经销商处的价格比旧价格便宜高达2亿美元，这使许多越南客户感到震惊。
"Chỉ cần vài ngàn đồng là các em học sinh tiểu học và trung học cơ sở có thể mua được một gói đồ chơi bên ngoài in hình quả mìn ,  khi đạp mạnh hoặc đập chúng sẽ phát nổ .",只有几千台董事是，小学和初中的学生可以在用力踢或殴打时购买一包用矿山印刷的玩具。
Giá vàng hôm nay ngày 22/8 dự báo không có quá nhiều biến động .  Hiện giá vàng thế giới và trong nước đều đang chờ đợi thông điệp từ FED . Sự kiện :,今天8月22日的黄金价格预计不会太多波动。目前，世界和国内黄金的价格正在等待美联储的信息。
"Hiệp định Thương mại tự do Việt Nam - EU  ( EVFTA )  chính thức có hiệu lực từ ngày 01 tháng 8 năm 2020 đánh dấu cột mốc quan trọng trên chặng đường 30 năm hợp tác và phát triển giữa Việt Nam và Liên minh châu Âu EU ,  mở ra một giai đoạn mới đầy triển vọng cho mối quan hệ đối tác toàn diện đi vào chiều sâu ,  thiết thực và hiệu quả hơn .",越南 - 欧盟自由贸易协定（EVFTA）从2020年8月1日开始正式生效，标志着越南与欧盟欧洲联盟之间的30年合作与发展的重要里程碑，为全面的合作伙伴关系开辟了一个有希望的新阶段深入，实用，更有效。
"Theo đó ,  giá vàng trong nước điều chỉnh tăng hoặc giảm trong khoảng 100 nghìn đồng ,  tính theo trung bình trong tuần .","因此，国内黄金价格调整后调整了或下降了100,000次，平均每周计算。"
"Sau khi gửi đơn cầu cứu lên Bộ trưởng Bộ Xây dựng ,  Tập đoàn Novaland vừa tiếp tục đề xuất 2 phương án để giải cứu việc ách tắc về thủ tục pháp lý tại dự án The Water Bay .",在将居留权发送给建筑部长之后，Novaland Group继续提出两种选择，以营救Water Bay项目的法律程序。
"Giá vàng hôm nay trên thị trường thế giới vọt tăng cao .  Hiện tại ,  giá vàng thế giới đứng trên mức 1 . 277 USD/ounce . Sự kiện :","当今世界市场上的黄金价格飙升。目前，世界黄金价格高于1,277美元/盎司。"
"Ngay sau khi chi ra hơn 2 , 2 nghìn tỷ đồng tiền mặt ,  bà Cao Thị Ngọc Sương chính thức góp mặt trong nhóm 20 người giàu nhất sàn chứng khoán Việt .",在花费超过2.2万亿美元的现金之后，Cao Thi Ngoc女士立即正式参加了越南股票市场的20名最富有的人群。
"Để trả được hơn 4 . 000 tỷ đồng và khoản  “ khủng “  còn lại ,  bầu Đức mạnh tay bán tài sản và hàng chục triệu cổ phiếu ,  hướng mục tiêu chính vào trồng trái cây .","为了支付超过4,000亿美元和剩余的“可怕”金额，德国大选强烈出售了资产和数千万股，将主要目标指导到不断增长的水果中。"
"Theo thông báo từ Ủy ban An toàn Sản phẩm Tiêu dùng Mỹ  ( CPSC )  ,  hãng Keurig Green Mountain đang thu hồi khoảng 6 , 6 triệu máy pha cà phê mini tại thị trường Mỹ và 564 . 000 tại Canada sau báo cáo bị bỏng từ người sử dụng  .","根据美国消费者产品安全委员会（CPSC）的宣布，在用户使用的报道称，Keurig Green Mountain在美国市场上恢复了约660万台迷你咖啡机，在加拿大收回了564,000个小型咖啡机。"
"Một nghiên cứu đã chỉ ra rằng những người thường xuyên sử dụng các loại thực phẩm chế biến sẵn như xúc xích ,  thịt xông khói có nhiều khả năng mắc bệnh tiểu đường loại 2 .",一项研究表明，经常使用培根等加工食品（例如香肠）的人更有可能患有2型糖尿病。
"Theo thông tin từ Tập đoàn Xăng dầu Việt Nam  ( Petrolimex )  ,  ước Quỹ bình ổn giá xăng dầu  ( BOG )  hình thành tại Petrolimex hiện là :  2 . 240 tỷ đồng .",根据越南石油集团（Petrolimex）的信息，在Petrolimex形成的汽油稳定基金（BOG）为：VND 22400亿。
"Bill Gates khuyên mọi người luôn lạc quan ,  đầu tư vào giáo dục và sẵn sàng lắng nghe những lời chỉ trích .",比尔·盖茨（Bill Gates）建议人们乐观，投资教育并准备好倾听批评。
"Tổng cục Tiêu chuẩn Đo lường Chất lượng Việt Nam và Tổng cục Tiêu chuẩn Đo lường Chất lượng UAE vừa ký kết bản ghi nhớ hợp tác .  Đây là khung khổ pháp lý quan trọng giúp các doanh nghiệp Việt Nam tiếp cận được thị trường thực phẩm Halal toàn cầu nói chung ,  cũng như thị trường UAE và Vùng Vịnh nói riêng .",越南标准，计量和质量部以及阿联酋质量计量和标准总部刚刚签署了合作备忘录。这是一个重要的法律框架，可帮助越南企业尤其是全球清真食品市场，尤其是阿联酋市场，尤其是海湾。
"Nhiều mẫu ô tô 7 chỗ đời cũ giảm giá mạnh trên thị trường ,  song người tiêu dùng cần hết sức cân nhắc khi mua . Sự kiện :",许多旧的7座汽车型号在市场上有很高的折扣，但是消费者在购买时需要考虑。
"’  ’ Cơn lốc ’  ’  những bộ phim hấp dẫn với các thể loại khác nhau từ bom tấn ,  tình cảm ,  kinh dị ,  hoạt hình ,  .  .  .  chuẩn bị càn quét phòng vé Việt trong tháng tư .  Cùng điểm qua danh sách những bộ phim chiếu rạp sẽ ra mắt khán giả Việt trong tháng này .  Sự kiện :",``tornado&apos;&apos;&apos;迷人的电影，与大片，情感，恐怖，动画不同类别，准备在4月扫除越南票房。让我们看一下本月将在越南观众中首次亮相的电影列表。事件：
Nhiều chuyến bay vận tải Boeing C-17 đáp xuống Nội Bài mang theo trực thăng hộ tống và ôtô riêng của Tổng thống Mỹ Obama .,许多波音公司的C-17运输航班降落在诺伊·拜（Noi bai），带来了奥巴马总统的护送直升机和私人汽车。
"Lực lượng chức năng tỉnh Đồng Tháp trong quá trình tiến hành kiểm tra hộ kinh doanh thực phẩm đã phát hiện gần 400 kg thực phẩm đông lạnh không rõ nguồn gốc ,  xuất xứ .",在检查食品商业家庭的过程中，董事功能力量已经发现了近400公斤的冰冻食物，起源不明和起源。
Chiếc ô tô SUV hạng trung Hector Plus sẽ sớm ra mắt thị trường Ấn Độ để cạnh tranh với Toyota Innova Crysta và Mahindra XUV500 . Sự kiện :,Mid -Class Hector Plus SUV将很快推出印度与Toyota Innova Crysta和Mahindra XUV500竞争。
Giá dầu ngày 19/3 tăng mạnh khi thị trường dầu thô dấy lên hy vọng về cơ hội đàm phán điều tiết giá dầu của OPEC+ .,3月19日，当原油市场提出了对欧佩克+石油价格进行谈判的机会时，石油价格急剧上涨。
Giải thưởng Chất lượng Quốc gia không chỉ là một sự ghi nhận mà còn là sự động viên khuyến khích rất lớn cho Công ty TNHH Nestlé Việt Nam trong nỗ lực suốt 25 năm qua . Sự kiện :,国家质量奖不仅是认可，而且是对雀巢越南有限公司的极大鼓励。在过去的25年中。
Uống nước chè đều đặn tốt cho sức khỏe .  Tuy nhiên nếu không biết cách dùng thì nó sẽ có tác dụng ngược lại .  Uống nước chè phải đúng cách .  Sự kiện :,定期喝茶水以确保健康。但是，如果您不知道如何使用它，它将具有相反的效果。喝茶必须正确。事件：
"Theo thông tin từ xổ số Vietlott ,  tỉnh Long An lần đầu tiên có tỷ phú Vietlott ,  trúng thưởng Jackpot 2 với giá trị giải thưởng là 3 , 29 tỷ đồng . Sự kiện :",根据Vietlott彩票的信息，Long An Province拥有第一位亿万富翁Vietlott，赢得了奖金2，奖金价值为32.9亿vnd。
"Một nữ nhân viên công ty bất động sản có trụ sở tại quận Tân Bình ,  TP .  HCM vừa nhận được phần thưởng Tết cá nhân có thành tích xuất sắc nhất năm 2016 với ôtô ,  tiền mặt ,  chương trình phúc lợi tổng trị giá lên đến 1 , 05 tỷ đồng . Sự kiện :",房地产公司的一家女雇员总部位于TP。 Ho Chi Minh City刚刚获得了2016年最出色的个人TET奖金，其汽车，现金，福利计划价值高达10.5亿。
"Giá vàng hôm nay ngày 10/6/2016 tiếp tục tăng vọt lên mức cao nhất trong gần 3 tuần ,  trong khi giá USD tự do và USD ngân hàng cùng giảm . Sự kiện :",今天10/6/2016的黄金价格在近3周内继续飙升至最高水平，而免费美元和美元的价格下降。
Một số thực phẩm nếu bạn ăn trước khi đi ngủ sẽ khiến bạn gặp các rắc rối về sinh hoạt cũng như ảnh hưởng nghiêm trọng đến sức khỏe của mình .,有些食物，如果您在睡觉前吃饭，会使您遇到难以生活并严重影响您的健康。
"Ukraine hủy năm thỏa thuận an ninh trọng yếu với Nga ,  Mỹ phủ nhận tin đưa hệ thống chống tên lửa tới Ukraine ,  Nga cho Ukraine lối thoát trong khủng hoảng nợ ,  .  .  .  là những tin tức về tình hình Ukraine mới nhất . Sự kiện :",乌克兰取消了与俄罗斯的五项关键安全协议，美国否认向俄罗斯乌克兰宣布乌克兰的反资产阶级系统在债务危机中逃脱……是有关乌克兰最新情况的新闻。
"Cô Laura Gregory năm nay 27 tuổi ,  ‘sống chung ’  với lang ben đã 12 năm .  Vết lang ben lúc đầu chỉ nằm ở vùng bụng ,  nhưng sau đó đã lan ra khắp cơ thể của cô gái .",劳拉·格雷戈里（Laura Gregory）今年27岁，与Tinea versicolor“一起生活”了12年。 Tinea versicolor仅在腹部，但随后散布在整个女孩的身体中。
"Theo nhiều Tham tán thương mại ,  năm nay hàng Việt Nam có nhiều cơ hội hơn khi xuất khẩu vào các thị trường Mỹ Latinh ,  Nhật , EU ,  Mỹ .  .  .",根据许多商业罪犯的说法，今年越南商品在出口到拉丁美洲，日本，欧盟，美国市场时有更多的机会...
"Thịt có thể chứa chất gây ung thư ,  nhưng nó cũng là một nguồn dinh dưỡng cung cấp sắt rất cần thiết cho cơ thể con người .",肉可以含有致癌物，但它也是对人体必不可少的铁的来源。
"Trong tháng 6 tới đây và những tháng tiếp theo ,  thị trường ô tô sẽ đón nhận một loạt mẫu xe giá rẻ mới ,  giá chỉ từ tầm giá 300 triệu đồng . Sự kiện :",在6月和接下来的几个月中，汽车市场将获得一系列新的廉价型号，仅从3亿美元的价格范围定价。
"Theo hệ thống xếp hạng đại học mới mà Viện Brookings đưa ra trong tuần này ,  Đại học Harvard và Yale hoàn toàn không có tên trong danh sách những trường đại học tốt nhất của Mỹ .",根据布鲁金斯学院本周提供的新大学排名系统，哈佛大学和耶鲁大学完全不在美国最好的大学中。
"Các doanh nhân thành đạt luôn tạo lập và làm theo một lịch làm việc hợp lý mỗi ngày ,  đây cũng chính là chìa khóa tạo nên thành công của họ .",成功的企业家总是每天创造并遵循合理的时间表，这也是他们成功的关键。
"Vũ khí của Mỹ là hệ thống pháo phản lực hàng đầu thế giới ,  với uy lực rất lớn chúng được coi là cơn ác mộng của bộ binh trên chiến trường . Sự kiện :",美国武器是世界领先的喷气系统，具有强大的力量，被认为是战场上步兵的噩梦。
Hãng sản xuất dược phẩm lừng danh nước Mỹ Novartis AG vừa phải thu hồi hơn 5 triệu đơn vị thuốc huyết áp do lỗi nhiễm thành phần hóa học từ mực in trong quá trình đóng gói .,在包装过程中，由于墨水感染化学感染，著名的美国制药商诺华诺华（Novartis AG）必须收回超过500万单位的血压药物。
"Các nhà khoa học tại Mỹ nhận thấy tỷ lệ tử vong do các bệnh ung thư nói chung đang có mức giảm mạnh nhất ,  tuy nhiên cảnh báo béo phì có thể là nguyên nhân tiếp theo .",美国的科学家发现，癌症的死亡率总体上的衰落最强，但肥胖的警告可能是下一个原因。
"Tổng doanh thu thuần hợp nhất của các đơn vị thành viên Petrolimex trên tất cả các lĩnh vực kinh doanh :  xăng dầu ,  gas ,  dầu mỡ nhờn ,  vận tải xăng dầu ,  thiết kế ,  cơ khí… là :  191 . 933 tỷ đồng ,  tăng 25% so với cùng kỳ .",在所有业务领域的Petrolimex成员单位的总合并净收入：汽油，汽油，油脂，汽油运输，设计，机械... IS：1919.33亿vnd，比同期增长25％。
"Một ngày sau cuộc đảo chính chớp nhoáng ,  Tư lệnh lục quân Thái Lan Prayuth Chan-ocha đã tự phong cho ông ta làm quyền Thủ tướng cho tới khi chính quyền quân sự làm đảo chính tìm được một người phù hợp vào vị trí này .",浮华政变的一天，泰国陆军指挥官Prayuth Chan-Ocha命令他成为总理的权利，直到军政府使政变在此职位上找到合适的人。
"( VietQ . vn )  – Bắt đầu kinh doanh một quán cafe nhỏ là trải nghiệm đầu tiên nếu muốn kinh doanh một nhà hàng .  Tăng thêm thu nhập ,  thỏa mãn đam mê kinh doanh và góc riêng cho cuộc sống tại quán café sở thích của nhiều người .",（vietq.vn） - 如果您想做一家餐厅，开一个小咖啡馆就是第一次体验。在许多人的爱好咖啡馆里增加收入，满足商业热情和私人角落。
"Ngày vàng khuyến mại cũng là cách để các doanh nghiệp thu hút người tiêu dùng đến với mình .  Lợi dụng vào điều này ,  một số doanh nghiệp ,  cửa hàng đã tung ra các hình thức quảng cáo ,  thậm chí là giả danh  “ điểm vàng khuyến mại ”  để đánh lừa người tiêu dùng .",黄金日促销也是企业吸引消费者吸引他们的一种方式。利用这一点，许多企业和商店都推出了广告表格，甚至假装“促销金点”来欺骗消费者。
Giá vàng hôm nay ngày 7/9 không biến động nhiều so với phiên giao dịch hôm qua .  Song giá vàng trong nước đang đứng ở mức cao nhất kể từ 5 tháng qua . Sự kiện :,与昨天的会议相比，今天的金价今天7/9不动。但是国内黄金价格从过去5个月开始一直处于最高水平。
Giá vàng hôm nay tăng nhẹ trở lại sau 2 phiên giảm liên tiếp nhưng vẫn quanh quẩn ở ngưỡng 1 . 220 USD/ounce do chứng khoán toàn cầu và đô la sụt giảm . Sự kiện :,"由于全球证券和美元，今天连续2次下降了2次，今天的黄金价格连续2次下降，但仍处于1,220美元/盎司的门槛。"
"Bộ Khoa học và Công nghệ kiến nghị sửa đổi ,  bổ sung quy định theo hướng bãi bỏ trách nhiệm quản lý đối với  “ công trình thể thao và quảng cáo ngoài trời ”  của Bộ Văn hóa ,  Thể thao và Du lịch và giao Bộ Xây dựng quản lý; bổ sung trách nhiệm của Ngân hàng Nhà nước Việt Nam quản lý chất lượng đối với mặt hàng  “ kim loại quý và đá quý ”  .",科学技术部提议在废除文化，体育和旅游部以及建筑管理部“体育工作和户外广告”的管理责任方面修改和补充法规；补充越南国家银行的责任，负责管理“贵金属和宝石”的质量。
